# word | phonetic | pos. | meaning | example | topic
opprobrium | /ә'prәubriәm/ | n. | 污名, 耻辱, 咒骂；轻蔑, 责骂, 不名誉 |  | general
omniscience | /ɒm'niʃәns/ | n. | 全知, 全知者, 无所不知 |  | general
graybeard | /'greibiәd/ | n. | 老人, 土制酒壶 |  | general
languorous | /'læŋgәrәs/ |  | a. 怠惰的, 疲倦的, 无力的 |  | general
intemperate | /in'tempәrit/ |  | a. 不节制的, 不温和的, 饮酒过度的 |  | environment
horsehair | /'hɔ:sheә(r)/ | n. | 马毛, 马鬃；马鬃 |  | general
graceless | /'greislis/ |  | a. 不知礼的, 不知耻的, 粗野的；堕落的, 道德败坏的, 邪恶的 |  | general
masquerader |  | n. | 参加化装舞会者, 伪装者；冒充程序 |  | technology
gramma | /ɡ'rəmə/ |  | （拉）克 |  | general
extendable | /ek'stendәbl/ |  | a. 可延长的；可展开的 |  | general
docility | /dәu'siliiti/ | n. | 顺从, 温顺 |  | work
handwork | /'hændwә:k/ | n. | 手工 |  | work
subsonic | /sʌb'sɒnik/ |  | a. 比音速稍慢的, 次音速的；听域下的 |  | general
concretely |  | adv. | 具体地 |  | general
cholla | /'tʃәuljɑ:/ | n. | 仙人掌 |  | general
bittersweet | /'bitәswi:t/ |  | a. 又苦又甜的, 苦乐参半的；白英, 蜀羊泉 |  | general
bijou | /'bi:ʒu:/ | n. | <法>珠宝,宝石,小巧美观的东西；a. 小巧美观的 |  | general
astutely | /əs'tju:tli/ | adv. | 敏捷地；伶俐地 |  | general
bursitis | /bә:'saitis/ | n. | 黏液囊炎；粘液囊炎, 滑囊炎 |  | general
worthiness | /'wә:ðinis/ | n. | 价值, 相当, 值得 |  | general
horseshit | /'hɔ:sʃit,'hɔ:ʃ-/ | n. | 胡说, 谎话 |  | general
dyspnea | /dis'pni:ә/ | n. | 呼吸困难；呼吸困难 |  | work
unspecific | /'ʌnspi'sifik/ |  | a. 非特定的,不具体的,不确定的 |  | general
unsaleable | /'ʌn'seilәbl/ |  | 卖不掉的, 无销路的 |  | general
unchangeable | /.ʌn'tʃeindʒәbl/ |  | a. 不变的, 不能改变的 |  | general
unasked | /.ʌn'ɑ:skt/ |  | a. 未被提问的, 未受邀请的, 未受请求的；未受请求的, 未被要求的, 未受请托的 |  | general
treasonable | /'tri:znәbl/ |  | a. 叛逆的, 谋反的, 不忠的；犯叛国罪的, 叛国的, 叛逆的, 不忠的 |  | general
dinero | /di'neәrәu/ | n. | <美口>钱 |  | general
thermally | /'θɜ:məlɪ/ |  | 热地 |  | general
medevac | /'medәvæk/ |  | 救伤直升机 |  | health
photometric | /.fәutәu'metrik/ |  | a. 光度学的, 光度计的, 光度测定的 |  | general
tallow | /'tælәu/ | n. | 油脂, 动物脂油；vt. 涂脂油于 |  | general
bagpiper | /'bægpaipә/ | n. | 吹风笛的人, 风笛手 |  | general
softie | /'sɔ(:)fti/ | n. | 1.柔弱的人 2.笨人 |  | health
schoolwork | /'sku:lw\\\\:k/ | n. | 学校作业, 家庭作业 |  | education
socioeconomically |  | adv. | socioeconomic的变形 |  | economy
loupe | /lu:p/ |  | 放大镜 |  | general
odourless | /'әjdәlis/ |  | 无气味的 |  | general
allergenic | /.ælә'dʒenik/ |  | a. 变应原的；变应原的 |  | general
lucidly | /'lu:sɪdlɪ/ | adv. | 清透地, 透明地 |  | general
pubertal |  |  | 青春期的 |  | general
inexact | /.inig'zækt/ |  | a. 不正确的, 不确实的, 不精密的 |  | general
placekicker |  |  | 开球员 |  | general
atypically |  | adv. | atypical, atypic的变形 |  | general
demoralisation | /di,mɔrə-lai'zeiʃən; -li'z-/ | n. | demoralise的变形 |  | society
circumspection | /.sә:kәm'spekʃәn/ | n. | 细心, 慎重 |  | general
animatedly |  | adv. | 精力旺盛地；活生生地 |  | general
estradiol | /,estrә'daiәul, -ɔ:l/ |  | 二氢雌酮；雌二醇 |  | general
acceptably | /әk'septәbli/ | adv. | 可欣然接受地, 承受得住地, 能合人意地 |  | general
meniscus | /mi'niskәs/ | n. | 新月形物, 半月板；弯液面 |  | culture
loosestrife | /'lu:s,straif/ | n. | 珍珠菜,千屈菜；a. 千屈科植物的 |  | general
perlite | /'pә:lait/ | n. | 珍珠岩 |  | general
heterotrophic | /,hetәrәj'trɔfik/ |  | 异养的, 异养生物的 |  | environment
untidiness |  | n. | 不整洁, 不修边幅；凌乱, 无条理性 |  | general
uninsured | /'ʌnin'ʃuәd/ |  | a. 未保过险的；未保险的, 未经保险的 |  | general
antifeminist | /,ænti'feminist/ |  | a. & n.反对女权主义的(人),反男女平 |  | economy
timeliness |  |  | 时间性, 及时性 |  | general
polygyny | /pә'lidʒini/ | n. | 一夫多妻；多雌配合, 多妻配合 |  | general
tearfully | /'tɪəfəlɪ/ | adv. | 泪汪汪地, 流泪地 |  | general
stroppy | /ˈstrɒpi/ |  | a. 蛮横的, 刁蛮的 |  | general
nebular | /'nebjulә/ |  | a. 星云的 |  | general
spitefully | /'spaɪtfəlɪ/ | adv. | 怀恨地, 怀有恶意地 |  | general
neoplastic |  |  | a. 赘生物的, 瘤的, 肿瘤的, 赘生的；新生物的, 瘤的 |  | general
soldiery | /'sәuldʒәri/ | n. | 军事训练, 军人, 军队 |  | general
koan | /'kәuɑ:n/ | n. | 心印, 以心传心 |  | general
prurient | /'pruәriәnt/ |  | a. 好色的, 渴望的 |  | general
nth | /enθ/ |  | a. 第n个的；n倍的 |  | general
longitudinally | /ˌlɒndʒɪ'tju:dɪnəlɪ/ | adv. | 纵向地 |  | general
landward | /'lændwәd/ |  | a. 向陆的, 近陆的；adv. 向陆地 |  | general
pulpwood | /'pʌlpwud/ | n. | 纸浆用木材 |  | general
posteriorly |  | adv. | 以后, 后面, 其次 |  | general
inviolate | /in'vaiәlit/ |  | a. 未亵渎的, 未受侵犯的, 无污点的 |  | general
haltingly | /'hɔ:ltiŋli/ | adv. | 迟疑不决地；犹豫地 |  | general
underglaze | /'ʌndә^leiz/ |  | a. 釉底的 |  | general
exaggeratedly | /ig'zædʒəreitidli/ | adv. | 夸张地 |  | general
yellowtail | /jeləʊ'teɪl/ | n. | 黄鳍短须石首鱼 |  | general
demitasse | /'demitɑ:s/ | n. | 小型咖啡杯, 小杯清咖啡 |  | general
dastardly | /'dæstәdli/ |  | a. 卑怯的人, 懦夫, 怯懦 |  | general
lookup | /'ljkʌp/ | n. | 查找, 检查 |  | general
biogeographic | /bi:əʊdʒɪəɡ'ræfɪk/ |  | 生物地理的 |  | general
ciao | /tʃau/ | int. | （意）你好；再见（见面问候语或告别语） |  | general
badness | /'bædnis/ | n. | 坏, 恶, 不良 |  | general
allusive | /ә'lu:siv/ |  | a. 暗指的, 引用典故的 |  | general
fratricide | /'freitrisaid/ | n. | 兄弟杀害的行为, 杀害兄弟者；杀害兄弟者, 杀害兄弟的行为 |  | general
