# word | phonetic | pos. | meaning | example | topic
expandable | /ik'spændәbl/ |  | a. 可张开的；可膨胀的 |  | general
adsorption | /æd'sɒ:pʃәn/ | n. | 吸附；吸附 |  | general
escarole | /'eskәrәul/ | n. | 做沙拉的一种蔬菜 |  | general
plebe | /pli:b/ | n. | (军官学校)新生, 平民 |  | education
tripos | /'traipɒs/ | n. | 文学士荣誉学位考试, 荣誉学位考试及格者名册 |  | education
norepinephrine | /'nɔ,repi'nefrin/ | n. | 去甲肾上腺素；去甲肾上腺素 |  | general
asymptomatic | /,eisimptә'mætik/ |  | a. 无症状的；无症状的 |  | health
chiasmus | /kai'æzmәs/ | n. | 交错配列 |  | general
imperium | /im'piәriәm/ |  | 主权, 统治者, 绝对权 |  | general
necrosis | /ne'krәusis/ | n. | 坏死, 枯斑；坏死 |  | general
sinusoidal | /.sainә'sɒidl/ |  | a. 正弦曲线的, 窦状隙的；正弦样的 |  | general
electrophoresis | /i,lektrәfә'ri:sis/ | n. | 电泳；电泳 |  | culture
outerwear | /'ajtәweә(r)/ | n. | 外衣, 外套 |  | general
predestination | /pri:desti'neiʃ(ә)n/ | n. | 宿命论, 定数, 命运, 预定, 命定论 |  | general
shiva | /'ʃi:vә/ | n. | 七日服丧期 |  | general
coaxial | /.kәu'æksiәl/ |  | a. 共轴的；同轴的 |  | general
cartographic |  |  | 制图的 |  | culture
polyphony | /pә'lifәni/ | n. | 一符多音(现象), 复音现象, 复调音乐；多音 |  | culture
dace | /deis/ | n. | 鲮鱼 |  | general
temblor | /tem'blɒ:/ | n. | 地震 |  | culture
climatology | /.klaimә'tɒlәdʒi/ | n. | 气候学；气候学, 风土学 |  | environment
tollbooth | /'tәulbu:θ/ | n. | 收费亭 |  | general
horus | /'hɔ:rәs/ | n. | 何露斯（古代埃及的太阳神） |  | general
sophomoric | /,sɔfә'mɔ:rik, -'mɔ-/ |  | a. 二年级学生的, 一知半解的, 幼稚而自 |  | education
lilliput | /'lilipʌt/ | n. | (<<格列佛游记>>中的)小人国 |  | general
impeller | /im'pelә/ | n. | 推进者, 叶轮；叶轮 |  | general
nonsurgical |  |  | 非外科的 |  | general
immanence | /'imәnәns/ | n. | 内在, 无所不在 |  | general
comportment | /kәm'pɒ:tmәnt/ | n. | 行为, 举止, 习惯 |  | general
radiography | /.reidi'ɒgrәfi/ | n. | 射线照相术；射线照相术 |  | general
constitutionality | /'kɔnsti,tju:ʃә'nælәti/ | n. | 合宪法性；符合宪法, 合宪性, 立宪 |  | society
popery | /'pәupәri/ | n. | 罗马天主教 |  | general
crabapple | /k'ræbæpl/ |  | 野苹果；沙果 |  | health
excitatory | /ek'saitәtәri/ |  | a. 显示兴奋的, 起异化作用的, 刺激性的；兴奋性的, 刺激性的, 起异化作用的 |  | health
ngo |  | abbr. | 民间组织；非政府组织（Non-Governmental |  | health
corncob | /'kɔ:nkɔb/ | n. | 玉米棒子的芯, 玉米穗轴, 玉米芯, 穗轴 |  | general
lysis | /'laisis/ | n. | 溶解, 病势减退, 消散；溶解 |  | health
orthographic | /,ɔ:θә'^ræfik/ |  | 正射的 |  | general
preeminently | /p'ri:maɪnəntlɪ/ | adv. | 卓越地, 杰出地, 超群地；卓越地, 杰出地 |  | general
ethology | /i(:)'θɔlәdʒi/ | n. | 性格学, 生态学, 特性论；个体生态学 |  | environment
nonaggressive | /'nɔnә'^resiv/ |  | 不侵略的, 不侵犯的 |  | general
privity | /'priviti/ | n. | 私下知悉, 默契；非当事人的利益 |  | economy
enlistee | /in,lis'ti:/ | n. | 征募者,士兵(男或女) |  | general
intestacy | /in'testәsi/ | n. | 未留遗嘱而死亡；未留遗嘱, 无遗嘱的死亡 |  | general
pcp | /,pi:si:'pi:/ | abbr. | 五氯苯酚（pentachlorophenol；苯环己哌啶（phencyclidine, 等 |  | health
hdtv |  | abbr. | 高清晰度电视（high-definition |  | general
daikon | /'daikәn/ |  | 萝卜 |  | general
sepsis | /'sepsis/ | n. | 脓毒病；败血症 |  | general
ulama | /'u:lә'mɑ:, ,u:lә'mɑ:/ |  | 乌力马(穆斯林的学者或宗教、法律的权威) |  | society
uncompensated | /ʌn'kɔmpenseitid/ |  | 无补偿的 |  | general
alt | /ælt/ | n. | 高音调；a. 高音调的 |  | general
screwy | /'skru:i/ |  | a. 螺旋形的, 扭曲的, 乖诞的, 疯颠的 |  | general
creamer | /'kri:mә(r)/ | n. | 分离奶油的器具, 盛奶油的器皿, 撇奶油用的 |  | general
crustal | /'krʌstәl/ |  | a. 地壳的；痂的 |  | culture
dimensionality | /di,menʃә'næliti/ |  | 维数, 度数 |  | general
testamentary | /.testә'mentәri/ |  | a. 遗嘱的, 据遗嘱的, 遗嘱中有的；遗嘱的, 遗嘱人的 |  | general
polyphonic | /.pɒli'fɒnik/ |  | a. 多音的, 有多种声音的 |  | culture
roundhouse | /'raundhaus/ | n. | 圆形机车库, 拘留所, 大抡拳 |  | work
faerie | /'feiәri/ | n. | 仙子, 仙境；a. 仙女的, 幻想的 |  | general
columnar | /kә'lʌmnә/ |  | a. 圆柱的, 圆筒形的, 分纵栏印刷或书写；柱状的 |  | general
tinnitus | /ti'naitәs/ | n. | 耳鸣；耳鸣 |  | health
senescence | /si'nesns/ | n. | 老朽, 衰老；衰老, 变老 |  | general
zydeco | /'zaidikәj/ | n. | 柴迪科舞(美国一种黑人舞曲)(亦作zodic |  | culture
printable | /'printәbl/ |  | a. 可印刷的, 适于出版的 |  | general
transgressive |  |  | 犯罪的, 犯法的, 违法的 |  | society
parathyroid | /.pærә'θairɒid/ |  | a. 副甲状腺的；甲状腺旁的 |  | general
unripe | /'ʌn'raip/ |  | a. 未熟的, 未成熟的, 生的, 未准备的 |  | general
dyspepsia | /dis'pepsiә/ | n. | 消化不良；消化不良 |  | culture
negativism | /'negәtivizm/ | n. | 否定论, 否定态度, 抗拒性；违拗症, 抗拒症 |  | general
untethered | /ʌn'teðə/ | v. | 解下拴牛马的绳或链 |  | general
holism | /'hәulizm/ |  | 机能整体性 |  | culture
circumpolar | /.sә:kәm'pәulә/ |  | a. 极地附近的, 天极附近的, 拱极的 |  | general
otc |  | abbr. | 技术合作处（Office of Techni |  | technology
cyclotron | /'saiklә,trɔn/ | n. | 回旋加速器；回旋加速器 |  | culture
cicely | /'sisәli/ | n. | 欧洲没药 |  | general
billfold | /'bilfәuld/ | n. | 皮夹 |  | general
acetylcholine | /ә.si:til'kәuli:n/ | n. | 乙酰胆碱；乙酰胆碱 |  | general
silicosis | /,sili'kәusis/ | n. | 石末沉着病, 硅肺(磨工病), 矽肺；矽肺 |  | health
piezoelectric | /pai,i:zәui'lektrik/ |  | 压电的 |  | general
cyan | /'saiæn/ | n. | 蓝绿色, 青色；氰基 |  | general
xxx |  | num. | 罗马数字30 |  | technology
extracellular | /,ekstrә'seljulә/ |  | a. 细胞外的；细胞外的 |  | general
venezia |  | n. | （意）威尼斯（等于Venice） |  | general
minibar | /'minibɑ:/ | n. | 小型条信号发生器 |  | culture
androgyny | /æn'drɔdʒini/ |  | 两性畸形, 雌雄同体性, 男子女化(男性假两 |  | general
groundfish | /'^rajndfiʃ/ | n. | 底栖鱼,底层鱼(指生活于海底的鱼,如鳕等) |  | economy
